1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Phase
0.00019394,-0.00044195,-0.00011001,-0.00020645,0.00013029,-0.00004839,0.00011973,-0.00005718,-0.00008190,-0.00014804,0.00011821,-0.00003331,0.00000814,-0.00001535,-0.00000486,0.00002467,-0.00001871,0.00000278,0.00000110,-0.00001543,-0.00000111,0.00001952,-0.00001585,0.00000283,0.00049501,0.00024887,0.00015592,0.00019235,0.00001805,0.00003108,0.00001551,0.00002530,D
0.00025442,-0.00053013,-0.00012444,-0.00015073,0.00004949,-0.00003976,0.00016818,-0.00014256,-0.00009396,-0.00010882,0.00005336,-0.00002473,0.00002240,-0.00003266,-0.00000535,0.00002064,-0.00002992,0.00000320,0.00001794,-0.00003162,-0.00000447,0.00001453,-0.00002402,0.00000318,0.00060104,0.00016355,0.00023966,0.00012369,0.00003996,0.00003649,0.00003663,0.00002825,D
0.00027636,-0.00051291,-0.00011581,-0.00007006,-0.00005600,-0.00002388,0.00019436,-0.00019763,-0.00009292,-0.00005263,-0.00003348,-0.00000984,0.00000563,0.00000441,0.00000221,0.00002068,-0.00002705,0.00000407,0.00000671,-0.00001412,0.00000027,0.00001441,-0.00002226,0.00000382,0.00059403,0.00009281,0.00029235,0.00006315,0.00000749,0.00003429,0.00001564,0.00002679,D
0.00030767,-0.00052017,-0.00011196,-0.00002862,-0.00011971,-0.00001639,0.00022951,-0.00025267,-0.00009795,-0.00002279,-0.00007868,-0.00000244,0.00001044,-0.00000242,0.00000128,0.00001381,-0.00002124,0.00000250,0.00001172,-0.00001835,-0.00000168,0.00000995,-0.00001507,0.00000247,0.00061464,0.00012417,0.00035512,0.00008195,0.00001079,0.00002546,0.00002183,0.00001822,D
0.00029435,-0.00050226,-0.00010320,-0.00001024,-0.00016117,-0.00001238,0.00021752,-0.00028102,-0.00009540,-0.00000439,-0.00010921,0.00000209,-0.00000416,0.00000560,0.00000274,0.00000574,-0.00001296,0.00000125,-0.00000375,-0.00000886,0.00000080,0.00000575,-0.00000954,0.00000142,0.00059123,0.00016197,0.00036795,0.00010932,0.00000749,0.00001423,0.00000965,0.00001123,D
0.00035541,-0.00068558,-0.00010437,-0.00003047,-0.00028977,-0.00001129,0.00027564,-0.00045364,-0.00009881,-0.00001607,-0.00020279,0.00000618,0.00001696,-0.00005092,-0.00000033,-0.00000562,-0.00003572,0.00000030,0.00001614,-0.00004795,-0.00000095,-0.00000325,-0.00002600,0.00000114,0.00077925,0.00029159,0.00053993,0.00020352,0.00005367,0.00003616,0.00005060,0.00002622,D
0.00040230,-0.00085057,-0.00010733,-0.00006096,-0.00043465,-0.00000579,0.00032517,-0.00060655,-0.00009880,-0.00004045,-0.00031992,0.00001172,0.00001340,-0.00004714,-0.00000085,-0.00000871,-0.00004139,0.00000157,0.00001415,-0.00004369,0.00000000,-0.00000696,-0.00003347,0.00000158,0.00094701,0.00043895,0.00069527,0.00032268,0.00004901,0.00004233,0.00004592,0.00003422,D
0.00047200,-0.00106423,-0.00013227,-0.00009073,-0.00057310,0.00000271,0.00038814,-0.00076494,-0.00010265,-0.00005619,-0.00042827,0.00001960,0.00002248,-0.00006892,-0.00000804,-0.00000960,-0.00004466,0.00000274,0.00002031,-0.00005109,-0.00000124,-0.00000508,-0.00003495,0.00000254,0.00117169,0.00058024,0.00086390,0.00043239,0.00007294,0.00004576,0.00005500,0.00003541,D
0.00048613,-0.00111793,-0.00015819,-0.00010385,-0.00058937,0.00001296,0.00040173,-0.00078500,-0.00010828,-0.00006021,-0.00044490,0.00002573,0.00000393,-0.00001492,-0.00000720,-0.00000364,-0.00000452,0.00000285,0.00000378,-0.00000557,-0.00000156,-0.00000112,-0.00000462,0.00000170,0.00122928,0.00059859,0.00088844,0.00044969,0.00001702,0.00000647,0.00000691,0.00000505,D
0.00049257,-0.00113599,-0.00018069,-0.00010916,-0.00056744,0.00002353,0.00040203,-0.00078066,-0.00011458,-0.00005747,-0.00042742,0.00003374,0.00000201,-0.00000564,-0.00000703,-0.00000166,0.00000685,0.00000330,0.00000009,0.00000136,-0.00000197,0.00000086,0.00000546,0.00000250,0.00125130,0.00057832,0.00088554,0.00043258,0.00000924,0.00000779,0.00000239,0.00000607,D
0.00046293,-0.00104069,-0.00017338,-0.00009893,-0.00049422,0.00003335,0.00038085,-0.00072216,-0.00011642,-0.00005119,-0.00037476,0.00004108,-0.00000872,0.00002803,0.00000215,0.00000301,0.00002154,0.00000289,-0.00000623,0.00001721,-0.00000054,0.00000185,0.00001549,0.00000216,0.00115213,0.00050512,0.00082469,0.00038046,0.00002943,0.00002194,0.00001831,0.00001575,D
0.00046168,-0.00100962,-0.00017722,-0.00008738,-0.00043985,0.00004644,0.00037742,-0.00070872,-0.00012678,-0.00004256,-0.00033938,0.00005061,-0.00000039,0.00000971,-0.00000120,0.00000361,0.00001699,0.00000409,-0.00000107,0.00000420,-0.00000324,0.00000270,0.00001106,0.00000298,0.00112423,0.00045084,0.00081290,0.00034576,0.00000979,0.00001785,0.00000541,0.00001176,D
0.00042059,-0.00087671,-0.00016393,-0.00006498,-0.00041572,0.00007090,0.00034566,-0.00062087,-0.00012545,-0.00003441,-0.00033878,0.00007484,-0.00001141,0.00003692,0.00000369,0.00000622,0.00000670,0.00000679,-0.00000882,0.00002440,0.00000037,0.00000226,0.00000017,0.00000673,0.00098610,0.00042670,0.00072160,0.00034865,0.00003882,0.00001139,0.00002595,0.00000710,D
0.00036692,-0.00069793,-0.00015635,-0.00000710,-0.00033210,0.00009202,0.00029098,-0.00048325,-0.00012381,0.00000043,-0.00028178,0.00009103,-0.00001491,0.00004966,0.00000210,0.00001608,0.00002323,0.00000586,-0.00001519,0.00003823,0.00000045,0.00000968,0.00001583,0.00000450,0.00080385,0.00034468,0.00057752,0.00029612,0.00005189,0.00002885,0.00004114,0.00001909,D
0.00033753,-0.00054463,-0.00015319,0.00004934,-0.00038904,0.00013118,0.00026058,-0.00035984,-0.00012377,0.00004906,-0.00035031,0.00014012,-0.00000918,0.00004791,0.00000099,0.00001764,-0.00001779,0.00001224,-0.00000950,0.00003857,0.00000001,0.00001520,-0.00002142,0.00001534,0.00065880,0.00041351,0.00046120,0.00038047,0.00004879,0.00002788,0.00003972,0.00003041,D
0.00032962,-0.00044577,-0.00016032,0.00012406,-0.00035077,0.00015187,0.00024703,-0.00027215,-0.00012915,0.00013098,-0.00032373,0.00016452,-0.00000264,0.00003295,-0.00000238,0.00002491,0.00001275,0.00000690,-0.00000451,0.00002923,-0.00000179,0.00002731,0.00000886,0.00000813,0.00057712,0.00040187,0.00038958,0.00038603,0.00003314,0.00002882,0.00002963,0.00002984,D
0.00031924,-0.00038809,-0.00015033,0.00015930,-0.00029169,0.00014820,0.00023822,-0.00023226,-0.00012134,0.00018469,-0.00026177,0.00016869,-0.00000273,0.00001518,0.00000263,0.00000927,0.00001555,-0.00000097,-0.00000232,0.00001050,0.00000206,0.00001413,0.00001630,0.00000110,0.00052452,0.00036390,0.00035414,0.00036207,0.00001565,0.00001813,0.00001095,0.00002161,D
0.00029748,-0.00033927,-0.00013722,0.00019232,-0.00010693,0.00012051,0.00021408,-0.00020125,-0.00010967,0.00021439,-0.00007708,0.00013405,-0.00000640,0.00001436,0.00000386,0.00000971,0.00005434,-0.00000814,-0.00000710,0.00000912,0.00000343,0.00000873,0.00005432,-0.00001019,0.00047162,0.00025089,0.00031362,0.00026434,0.00001619,0.00005580,0.00001206,0.00005595,D
0.00028101,-0.00030095,-0.00012572,0.00022275,0.00002823,0.00010539,0.00019471,-0.00017841,-0.00009983,0.00022722,0.00005417,0.00011154,-0.00000549,0.00001277,0.00000383,0.00001014,0.00004506,-0.00000504,-0.00000645,0.00000762,0.00000328,0.00000428,0.00004375,-0.00000750,0.00043051,0.00024803,0.00028233,0.00025885,0.00001442,0.00004646,0.00001051,0.00004459,D
0.00027676,-0.00027861,-0.00012102,0.00025858,0.00006452,0.00010990,0.00018639,-0.00016311,-0.00009461,0.00024301,0.00008082,0.00010739,-0.00000125,0.00000657,0.00000138,0.00001054,0.00001067,0.00000133,-0.00000245,0.00000450,0.00000154,0.00000465,0.00000784,-0.00000122,0.00041093,0.00028828,0.00026514,0.00027771,0.00000683,0.00001506,0.00000535,0.00000919,D
