1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Phase
0.00003620,-0.00002417,0.00000664,-0.00023693,-0.00010894,-0.00001322,0.00003707,-0.00002154,0.00000611,-0.00023696,-0.00010701,-0.00001290,0.00001965,0.00001422,-0.00000284,-0.00007845,-0.00000878,-0.00001067,0.00001992,0.00001502,-0.00000301,-0.00007859,-0.00000772,-0.00001075,0.00004404,0.00026111,0.00004330,0.00026032,0.00002442,0.00007966,0.00002513,0.00007970,D
0.00008438,-0.00005388,0.00000819,0.00009370,-0.00000597,0.00001040,0.00008622,-0.00004819,0.00000708,0.00009351,-0.00000004,0.00001053,0.00002190,-0.00001350,0.00000071,0.00015029,0.00004681,0.00001073,0.00002234,-0.00001212,0.00000044,0.00015021,0.00004863,0.00001065,0.00010045,0.00009447,0.00009903,0.00009410,0.00002574,0.00015777,0.00002542,0.00015825,D
0.00093239,0.00142781,-0.00017202,0.00028346,0.00010567,0.00003329,0.00089969,0.00099062,-0.00012662,0.00028327,0.00011149,0.00003340,0.00027355,0.00047796,-0.00005813,0.00006121,0.00003601,0.00000738,0.00026241,0.00033510,-0.00004313,0.00006121,0.00003598,0.00000738,0.00171394,0.00030434,0.00134418,0.00030625,0.00055377,0.00007140,0.00042780,0.00007139,D
0.00057913,0.00093564,-0.00007770,0.00022819,0.00007366,0.00002328,0.00058000,0.00093310,-0.00007788,0.00022805,0.00007797,0.00002328,-0.00007516,-0.00010472,0.00002007,-0.00001176,-0.00000681,-0.00000213,-0.00006802,-0.00001224,0.00001037,-0.00001175,-0.00000713,-0.00000215,0.00110311,0.00024091,0.00110142,0.00024213,0.00013045,0.00001376,0.00006989,0.00001391,D
0.00050745,0.00094005,-0.00005285,0.00017050,0.00006555,0.00001090,0.00049478,0.00078864,-0.00003686,0.00017043,0.00006720,0.00001099,-0.00004480,0.00000275,0.00001553,-0.00003605,-0.00000507,-0.00000774,-0.00005326,-0.00009029,0.00002564,-0.00003601,-0.00000673,-0.00000768,0.00106957,0.00018299,0.00093173,0.00018353,0.00004749,0.00003722,0.00010791,0.00003743,D
-0.00073117,-0.00106261,0.00026849,0.00007455,0.00006270,-0.00000648,-0.00069896,-0.00065211,0.00022528,0.00007456,0.00006147,-0.00000638,-0.00039956,-0.00064602,0.00010366,-0.00003095,-0.00000092,-0.00000560,-0.00038508,-0.00046476,0.00008456,-0.00003093,-0.00000185,-0.00000560,0.00131751,0.00009762,0.00098210,0.00009684,0.00076663,0.00003147,0.00060945,0.00003148,D
-0.00052268,-0.00072457,0.00018845,0.00001407,0.00010279,-0.00000265,-0.00052208,-0.00071710,0.00018763,0.00001407,0.00010073,-0.00000247,0.00004436,0.00007192,-0.00001703,-0.00001287,0.00000853,0.00000081,0.00003763,-0.00001383,-0.00000801,-0.00001287,0.00000835,0.00000083,0.00091308,0.00010378,0.00090664,0.00010174,0.00008620,0.00001546,0.00004088,0.00001537,D
-0.00037490,-0.00054563,0.00013272,-0.00000442,0.00007561,0.00000402,-0.00036267,-0.00041105,0.00011810,-0.00000444,0.00007610,0.00000402,0.00004767,0.00005772,-0.00001798,-0.00000596,-0.00000876,0.00000215,0.00005142,0.00009872,-0.00002243,-0.00000597,-0.00000795,0.00000209,0.00067519,0.00007585,0.00056075,0.00007634,0.00007699,0.00001082,0.00011355,0.00001016,D
-0.00003258,-0.00005993,0.00000285,0.00000078,0.00004869,0.00001336,-0.00003044,-0.00005339,0.00000149,0.00000052,0.00005584,0.00001317,0.00011042,0.00015668,-0.00004190,0.00000168,-0.00000868,0.00000301,0.00010717,0.00011538,-0.00003761,0.00000160,-0.00000653,0.00000295,0.00006827,0.00005050,0.00006148,0.00005738,0.00019621,0.00000934,0.00016190,0.00000735,D
0.00013016,0.00005136,-0.00001624,0.00006838,0.00000966,0.00002175,0.00013318,0.00006055,-0.00001810,0.00006802,0.00002024,0.00002142,0.00005250,0.00003590,-0.00000616,0.00002181,-0.00001259,0.00000271,0.00005278,0.00003675,-0.00000632,0.00002178,-0.00001148,0.00000266,0.00014086,0.00007240,0.00014742,0.00007413,0.00006389,0.00002532,0.00006463,0.00002476,D
